shock_id,jurisdiction,shock_name,event_date,legal_date,instrument_type,binding,scope,coal_mandate,affected_countries,exogeneity_tier,source
EU_LCPD,EU,Large Combustion Plant Directive 2001/80/EC,2001-10-23,2001-11-27,Directive,yes,Existing LCPs built before 1987 (opt-out route),Opt-out plants limited to 20000 hours from 2008; must close by 2015-12-31,EU-wide,2,EUR-Lex OJ L 309
EU_IED,EU,Industrial Emissions Directive 2010/75/EU,2010-11-24,2011-01-06,Directive,yes,All existing large combustion plants,Chapter III ELVs from 2016-01-01; TNP ends 2020-06-30; limited lifetime derogation ends 2023-12-31,EU-wide,2,EUR-Lex OJ L 334
EU_ETS_MSR,EU,EU ETS Market Stability Reserve Decision 2015/1814,2015-10-06,2019-01-01,Decision,yes,EU ETS-covered installations,Automatic supply adjustment; 900M backloaded allowances transferred to MSR,EU ETS countries,3,EUR-Lex OJ L 264
EU_BAT_LCP,EU,BAT Conclusions Large Combustion Plants 2017/1442,2017-07-31,2021-08-17,Implementing Decision,yes,All LCPs >50MW,Binding BAT-AELs for SO2/NOx/Hg/PM; 4-year compliance deadline,EU-wide,2,EUR-Lex OJ L 212
EU_ETS_IV,EU,EU ETS Phase IV Reform Directive 2018/410,2018-03-14,2018-04-08,Directive,yes,EU ETS-covered installations,LRF increased to 2.2%/year; MSR intake doubled to 24% for 2019-2023,EU ETS countries,2,EUR-Lex OJ L 76
EU_TAXONOMY,EU,EU Taxonomy Regulation 2020/852,2020-06-18,2020-07-12,Regulation,yes,Financial market participants,Coal excluded from taxonomy-aligned activities; 100g CO2e/kWh threshold,EU-wide,3,EUR-Lex OJ L 198
EU_BAT_LCP2,EU,BAT Conclusions Re-adopted 2021/2326,2021-11-30,2025-12-30,Implementing Decision,yes,All LCPs >50MW,Same BAT-AELs as 2017/1442 re-adopted after annulment; compliance by ~2025-12-30,EU-wide,2,EUR-Lex OJ L 469
EU_FIT55_ETS,EU,Fit for 55 ETS Revision Directive 2023/959,2023-05-10,2023-06-05,Directive,yes,EU ETS-covered installations,LRF to 4.3% (2024-27) then 4.4% (2028-30); 62% reduction target by 2030,EU ETS countries,2,EUR-Lex OJ L 16.5.2023
EU_CBAM,EU,CBAM Regulation 2023/956,2023-05-10,2023-10-01,Regulation,yes,Imported electricity and industrial goods,Carbon border charge on imported electricity incl. coal-fired; definitive from 2026,EU + trade partners,3,EUR-Lex OJ L 130
DE_COAL_EXIT,Germany,Kohleausstiegsgesetz,2020-07-03,2020-08-14,Federal law,yes,All coal plants (hard coal + lignite),Complete phase-out by 2038 (review for 2035); phased capacity reductions; EUR 4.35B lignite compensation,DEU,1,Bundesgesetzblatt 13 Aug 2020
NL_COAL_BAN,Netherlands,Wet verbod op kolen bij elektriciteitsproductie,2019-12-10,2019-12-20,National law,yes,All coal-fired electricity,Outright prohibition; 1990s plants by 2025; post-2000 plants by 2030; Hemweg by 2020,NLD,1,Staatsblad 2019 493
FR_ENERGY_CLIMATE,France,Loi energie et climat No. 2019-1147,2019-09-26,2019-11-08,National law,yes,All coal electricity (via emission cap),Emission ceiling 0.7 ktCO2/MW/yr from 2022 limits coal to ~700 hrs/yr,FRA,1,Legifrance JORFTEXT000039355955
FI_COAL_BAN,Finland,Law 416/2019 coal energy ban,2019-03-06,2019-04-01,National law,yes,All coal energy use (electricity + heat),Outright ban effective 2029-05-01,FIN,1,Finnish Government Gazette
GR_CLIMATE_LAW,Greece,National Climate Law 4936/2022,2022-05-26,2022-05-27,National law,yes,All lignite electricity,Lignite electricity prohibited from 2028-12-31,GRC,1,Government Gazette 105/A/27-05-2022
DK_ENERGY_AGREE,Denmark,Energy Agreement 2018,2018-06-29,,Political agreement,no,Coal electricity,Coal phase-out by 2030 (accelerated to 2028 in 2021),DNK,3,Danish Energy Ministry
DK_CLIMATE_ACT,Denmark,Climate Act (Klimaloven) 965/2020,2020-06-26,,National law,yes,Economy-wide (70% GHG reduction by 2030),Reinforces coal phase-out commitment; no explicit coal prohibition clause,DNK,2,Danish Parliament
US_CA_SB1368,California,SB 1368 Emissions Performance Standard,2006-09-29,,State law,yes,All utility baseload contracts,Prohibits long-term coal contracts exceeding 1100 lbs CO2/MWh; bans coal-by-wire,USA,1,CA Energy Commission
US_WA_SB5769,Washington,SB 5769 TransAlta Centralia Transition,2011-05-03,,State law,yes,Centralia Power Plant specifically,Boiler 1 close by 2020; Boiler 2 close by 2025,USA,1,Washington State Legislature
US_OR_SB1547,Oregon,SB 1547 Coal-to-Clean Act,2016-03-11,,State law,yes,IOU coal service to Oregon customers,Prohibits coal-fired electricity to Oregon customers after 2030; first US state coal ban,USA,1,Oregon Legislature
US_NM_SB489,New Mexico,SB 489 Energy Transition Act,2019-03-22,,State law,yes,All NM utilities,100% zero-carbon by 2045; securitization for coal retirement; targeted San Juan GS,USA,1,NM Governor's Office
US_CO_SB236,Colorado,SB 19-236 Clean Energy Plans,2019-05-30,,State law,yes,All CO IOUs,80% carbon reduction by 2030; 100% by 2050; securitization for coal retirement,USA,1,CO Energy Office
US_WA_CETA,Washington,SB 5116 Clean Energy Transformation Act,2019-05-07,,State law,yes,All WA utilities,Eliminate coal by 2025-12-31; 100% clean by 2045,USA,1,Washington UTC
US_NY_CLCPA,New York,Climate Leadership and Community Protection Act,2019-07-18,,State law,yes,All NY utilities,100% zero-emission electricity by 2040; 70% renewable by 2030,USA,1,NY Senate S6599
US_VA_VCEA,Virginia,Virginia Clean Economy Act HB 1526,2020-04-12,,State law,yes,All VA utilities,Nearly all coal plants close by end 2024; 100% clean by 2045/2050,USA,1,VA Legislature
US_IL_CEJA,Illinois,Climate and Equitable Jobs Act PA 102-0662,2021-09-15,,State law,yes,All IL power plants,Private coal zero emissions by 2030; municipal coal by 2045,USA,1,IL Governor's Office
US_OR_HB2021,Oregon,HB 2021 100% Clean Energy for All,2021-07-27,,State law,yes,All OR utilities,Zero GHG electricity by 2040; 80% reduction by 2030,USA,1,Oregon Legislature
US_NC_HB951,North Carolina,HB 951 Energy Solutions,2021-10-13,,State law,yes,All NC utilities,70% CO2 reduction by 2030; carbon neutrality by 2050; effectively retires most coal,USA,1,NC General Assembly
US_MN_SF4,Minnesota,SF 4 100% Clean Energy Standard,2023-02-07,,State law,yes,All MN utilities,100% carbon-free by 2040; PUC may order coal reductions,USA,1,MN Dept of Commerce
US_EPA_CSAPR,United States,Cross-State Air Pollution Rule,2011-07-06,2011-08-08,Federal regulation,yes,Fossil fuel plants in 28 eastern states,SO2/NOx caps via cap-and-trade; reinstated by SCOTUS 2014-04-29,USA,2,76 FR 48208
US_EPA_MATS,United States,Mercury and Air Toxics Standards,2011-12-16,2012-02-16,Federal regulation,yes,All coal- and oil-fired EGUs,First national mercury/acid gas/toxics limits; MACT required; ~30 GW retirements,USA,1,77 FR 9304
US_EPA_CPP,United States,Clean Power Plan,2015-08-03,2015-10-23,Federal regulation,no,All existing fossil fuel plants,32% CO2 reduction by 2030; stayed by SCOTUS 2016-02-09; never took effect,USA,2,80 FR 64662
US_FERC_MOPR,United States,FERC PJM MOPR Expansion (pro-coal),2019-12-19,,Federal order,yes,PJM territory (13 states + DC),Expanded MOPR to subsidized renewables favoring unsubsidized coal; reversed 2021-12-21,USA,3,169 FERC 61239
US_EPA_111,United States,EPA Section 111 GHG Standards,2024-04-25,2024-05-09,Federal regulation,yes,All existing coal EGUs,Plants beyond 2039 must capture 90% CO2; repealed June 2025,USA,2,89 FR 39798
PH_COAL_MORAT,Philippines,DOE Moratorium on Greenfield Coal,2020-10-27,2020-12-22,Ministerial advisory,yes,New greenfield coal plants only,DOE ceases endorsing new coal applications; pipeline projects exempted,PHL,1,DOE Philippines
JP_METI_COAL,Japan,METI Inefficient Coal Phase-out,2020-07-03,,Ministerial announcement,no,Inefficient (sub-SC/SC) coal units,~100 of ~110 inefficient units to shut/mothball by 2030; USC/IGCC retained,JPN,2,METI press conference
JP_6TH_ENERGY,Japan,6th Strategic Energy Plan,2021-10-22,,Cabinet decision,yes,National electricity mix,Coal share to 19% by FY2030 (from 32% in FY2019),JPN,2,Cabinet Decision
ID_PR112,Indonesia,Presidential Regulation 112/2022,2022-09-13,,Presidential regulation,yes,New coal plants + existing retirement roadmap,No new coal unless in pre-Sept 2022 RUPTL; early retirement roadmap; phase-out by 2050,IDN,1,Perpres 112/2022
VN_PDP8,Vietnam,Power Development Plan VIII Decision 500/QD-TTg,2023-05-15,,Prime ministerial decision,yes,All coal generation,Only already-under-construction coal proceeds; 20yr+ plants convert to biomass/ammonia; all coal out by 2050,VNM,1,Decision 500/QD-TTg
KR_10TH_PLAN,South Korea,10th Basic Plan Electricity Supply and Demand,2023-01-13,,Administrative plan,no,National coal generation,Coal share to 19.7% by 2030 and 14.4% by 2036,KOR,3,MOTIE
BD_COAL_CANCEL,Bangladesh,Power Division Coal Project Cancellations,2021-06-27,,Administrative decision,yes,10 specific named coal projects (7461 MW),Cancellation of Matarbari Ph2 1200MW + 9 others; partially reversed 2025,BGD,2,Power Division
ADB_ENERGY,Multilateral,ADB Energy Policy Coal Exclusion,2021-10-20,,Institutional policy,yes,All ADB lending/guarantees/equity,No financing for new coal power/heating; support planned coal phase-out,ADB member countries,2,ADB Board of Directors
WB_COAL,Multilateral,World Bank Energy Directions (coal restriction),2013-07-16,,Institutional policy,yes,IBRD/IDA/IFC/MIGA coal lending,Coal financing only in rare circumstances with no feasible alternatives,WB member countries,3,World Bank Board
PPCA_LAUNCH,International,Powering Past Coal Alliance launch,2017-11-16,,Voluntary coalition,no,Member commitments,OECD/EU members phase out unabated coal by 2030; rest of world by 2050,Member countries,4,COP23 Bonn
G7_CARBIS,International,G7 Carbis Bay Communique,2021-06-13,,Communique,no,G7 member states,End new direct government support for unabated international thermal coal by end 2021,G7,4,White House
G20_ROME,International,G20 Rome Leaders Declaration,2021-10-31,,Communique,no,G20 member states,End international public finance for new unabated coal abroad by end 2021,G20,4,Consilium
COP26_GLASGOW,International,Glasgow Climate Pact Decision 1/CP.26,2021-11-13,,UNFCCC decision,no,All UNFCCC parties,Phase-down of unabated coal power (weakened from phase-out),Global,4,UNFCCC
