project_name,country_a,country_b,region,capacity_mw,technology,length_km,commissioning_year,commissioning_date,status,announcement_or_fid_date,source,iso3_a,iso3_b
Estlink 1,Estonia,Finland,Europe-Baltic,350,HVDC,105,2006,2006-12-04,Operational,2005-04-29,Wikipedia; Elering; ABB,EST,FIN
NorNed,Norway,Netherlands,Europe-North Sea,700,HVDC,580,2008,2008-05-06,Operational,2004-12-23,Wikipedia; TenneT; ABB,NOR,NLD
Fenno-Skan 2,Finland,Sweden,Europe-Nordic,800,HVDC,200,2011,2011-12-16,Operational,2007-09,Wikipedia; Fingrid; Nexans,FIN,SWE
BritNed,UK,Netherlands,Europe-North Sea,1000,HVDC,260,2011,2011-04-01,Operational,2007-05-22,Wikipedia; TenneT; ABB,GBR,NLD
East-West Interconnector,Ireland,UK (Wales),Europe-Irish Sea,500,HVDC,261,2012,2012-09-20,Operational,2007-01,Wikipedia; EirGrid,IRL,GBR
INELFE Pyrenees,France,Spain,Europe-SW,2000,HVDC,65,2015,2015-02-20,Operational,2008-06-27,European Commission; INELFE,FRA,ESP
NordBalt,Lithuania,Sweden,Europe-Baltic,700,HVDC,453,2015,2015-12-14,Operational,2009-07-09,Wikipedia; Svenska kraftnat,LTU,SWE
LitPol Link,Lithuania,Poland,Europe-Baltic,500,HVDC-B2B,163,2015,2015-12-09,Operational,2006-09-29,Wikipedia; Litgrid,LTU,POL
Skagerrak 4,Norway,Denmark,Europe-Nordic,700,HVDC,244,2015,2015-03-12,Operational,2009-11,Wikipedia; Statnett,NOR,DNK
Sarawak-W.Kalimantan,Malaysia (Sarawak),Indonesia (W.Kalimantan),ASEAN,230,HVAC,128,2016,2016-01-01,Operational,2011-07-18,ADB; Sarawak Energy,MYS,IDN
India-Bangladesh Bheramara,India,Bangladesh,South Asia,500,HVDC-B2B,,2013,2013-12-01,Operational,2010-01-11,India Ministry of Power; ADB,IND,BGD
India-Myanmar Moreh-Tamu,India,Myanmar,South Asia,3,HVAC,5,2016,2016-04,Operational,2014-11-12,India Ministry of Power,IND,MMR
Nemo Link,Belgium,UK,Europe-North Sea,1000,HVDC,140,2019,2019-01-31,Operational,2015-02-27,National Grid; Elia,BEL,GBR
COBRAcable,Denmark,Netherlands,Europe-North Sea,700,HVDC,325,2019,2019-09-07,Operational,2014-09,Wikipedia; Energinet; JAO,DNK,NLD
MONITA Italy-Montenegro,Italy,Montenegro,Europe-Balkans,600,HVDC,445,2019,2019-11-15,Operational,2007-12-19,Terna; Nexans,ITA,MNE
IFA2,France,UK,Europe-Channel,1000,HVDC,240,2021,2021-01-22,Operational,2013-10-14,National Grid; Ofgem,FRA,GBR
NordLink,Norway,Germany,Europe-North Sea,1400,HVDC,623,2021,2021-03-31,Operational,2015-02-10,Statnett; TenneT,NOR,DEU
North Sea Link,Norway,UK,Europe-North Sea,1400,HVDC,730,2021,2021-10-01,Operational,2015-03-26,National Grid; Statnett,NOR,GBR
India-Nepal Dhalkebar-Muzaffarpur,India,Nepal,South Asia,700,HVAC,140,2021,2021-04-17,Operational,2009-08,India Ministry of Power; World Bank,IND,NPL
ElecLink,France,UK,Europe-Channel Tunnel,1000,HVDC,51,2022,2022-05-25,Operational,2011-05,Getlink; Eurotunnel; STAR Capital,FRA,GBR
India-Bhutan Trade Expansion,India,Bhutan,South Asia,2000,HVAC,163,2022,2022-01-01,Operational,2006-07-28,India Ministry of Power; PGCIL,IND,BTN
Viking Link,Denmark,UK,Europe-North Sea,1400,HVDC,765,2023,2023-12-29,Operational,2018-12-20,National Grid; Energinet,DNK,GBR
Aurora Line,Finland,Sweden,Europe-Nordic,800,HVAC,380,2025,2025-11-12,Under construction,2017-08-23,Fingrid; Svenska kraftnat,FIN,SWE
Celtic Interconnector,Ireland,France,Europe-Atlantic,700,HVDC,575,2028,,Under construction,2022-11-25,EirGrid; RTE; EIB,IRL,FRA
Biscay Bay (Bay of Biscay),France,Spain,Europe-SW,5000,HVDC,,2028,,Under construction,2023-03,INELFE,FRA,ESP
Hansa PowerBridge,Germany,Sweden,Europe-Baltic,700,HVDC,,2029,,Cancelled,,50Hertz; Svenska kraftnat,DEU,SWE
India-Bangladesh Katihar-Parbotipur,India,Bangladesh,South Asia,2000,HVAC,157,,,Planned,2019-10-05,India Ministry of Power (length est. from geo; DPR not public),IND,BGD
Punatsangchu-I Transmission,India,Bhutan,South Asia,1200,HVAC,138,2025,,Under construction,2007-07,India Ministry of Power; BPC,IND,BTN
India-Nepal Gorakhpur-Butwal,India,Nepal,South Asia,,HVAC,112,,,Planned,2021-09-10,India Ministry of Power; PGCIL; NEA,IND,NPL
LTMS-PIP,Laos,Thailand-Malaysia-Singapore,ASEAN,100,HVAC,,2022,,Operational,2014-09-23,ASEAN Centre for Energy,LAO,
